,run6_trimmed_476_S14_R1_.bam,run6_trimmed_754_S3_R1_.bam,run6_trimmed_755_S2_R1_.bam,run6_trimmed_757_S11_R1_.bam,run6_trimmed_758_S6_R1_.bam,run6_trimmed_760_S12_R1_.bam,run6_trimmed_761_S4_R1_.bam,run6_trimmed_762_S5_R1_.bam,run6_trimmed_763_S10_R1_.bam,run6_trimmed_764_S7_R1_.bam,run6_trimmed_765_S1_R1_.bam,run6_trimmed_766_S13_R1_.bam,run6_trimmed_768_S8_R1_.bam,run6_trimmed_769_S9_R1_.bam,run6_trimmed_Ctrl1_S16_R1_.bam,run6_trimmed_Ctrl2_S21_R2_.bam
ENSMUSG00000102628,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000100595,1,4,0,3,0,0,1,0,1,5,0,0,0,0,0,0
ENSMUSG00000097426,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000104478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000104385,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
ENSMUSG00000086053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135,1636,1503,1210,1888,1216,1221,1547,1817,1461,1607,1021,1294,1191,1361,1090,1181
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100764,0,5,2,5,4,1,2,2,2,1,3,5,0,1,2,5
ENSMUSG00000102095,6,0,0,0,0,2,1,0,2,0,0,0,0,0,1,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100831,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2,1
ENSMUSG00000100884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100635,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100480,0,0,2,0,0,0,1,1,4,0,1,1,1,2,0,3
ENSMUSG00000089037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
