,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSMUSG00000078762,304.1796581,0.831724586,0.130656578,6.365730688,1.94E-10,2.55E-06,Haus5
ENSMUSG00000022546,574.3413816,1.100576761,0.186054743,5.915338369,3.31E-09,2.17E-05,Gpt
ENSMUSG00000032532,848.7146056,0.884547991,0.155326146,5.69477846,1.24E-08,5.40E-05,Cck
ENSMUSG00000051316,204.5977335,-0.890001774,0.163680589,-5.437430192,5.41E-08,0.000177312,Taf7
ENSMUSG00000103579,390.5882843,0.886739313,0.167657493,5.288993035,1.23E-07,0.000322754,NA
ENSMUSG00000038175,53.69716953,-1.010903304,0.192710904,-5.245698527,1.56E-07,0.000340471,Mylip
ENSMUSG00000023067,983.4394341,-1.019646551,0.197116467,-5.172812626,2.31E-07,0.000362919,Cdkn1a
ENSMUSG00000086443,41.60165555,1.986033609,0.384726756,5.162192584,2.44E-07,0.000362919,NA
ENSMUSG00000118790,522.9742462,-1.209691934,0.234504534,-5.158501256,2.49E-07,0.000362919,Gm25939
ENSMUSG00000040701,349.9405066,0.652049969,0.127130401,5.128985405,2.91E-07,0.000382225,Ap1g2
ENSMUSG00000067231,113.4683331,1.485329623,0.295123223,5.032913404,4.83E-07,0.000576228,Cyp2c65
ENSMUSG00000048440,809.1769251,0.614671649,0.122680887,5.010329371,5.43E-07,0.000594129,Cyp4f16
ENSMUSG00000079111,2860.590093,0.484428044,0.097036856,4.992206733,5.97E-07,0.000602489,Kdelr2
ENSMUSG00000057666,959.5209547,0.56533606,0.113722553,4.971186865,6.65E-07,0.000623662,Gapdh
ENSMUSG00000028792,3581.373614,0.46400315,0.094041681,4.934015894,8.06E-07,0.000704649,Ak2
ENSMUSG00000071356,101416.3858,7.584760366,1.543748847,4.913208765,8.96E-07,0.000705284,Reg3b
ENSMUSG00000079507,2188.257796,0.51278915,0.104812916,4.892423298,9.96E-07,0.000705284,H2-Q1
ENSMUSG00000031266,530.6800383,-0.543322473,0.111129143,-4.889108821,1.01E-06,0.000705284,Gla
ENSMUSG00000039096,56.91551551,-0.836242416,0.171098527,-4.887490441,1.02E-06,0.000705284,Rsad1
ENSMUSG00000030017,38546.96698,7.56375616,1.551954949,4.873695698,1.10E-06,0.000718569,Reg3g
ENSMUSG00000000159,558.4231025,0.606902829,0.124943698,4.857410502,1.19E-06,0.000743091,Igsf5
ENSMUSG00000119895,94.02936281,-1.65915092,0.342477681,-4.844551962,1.27E-06,0.000756829,Gm22513
ENSMUSG00000091705,4432.826186,0.546176364,0.113268764,4.821950424,1.42E-06,0.000810999,H2-Q2
ENSMUSG00000028655,1757.015256,1.654308428,0.344063482,4.808148832,1.52E-06,0.000832825,Mfsd2a
ENSMUSG00000002944,556.0598727,1.178439779,0.245731423,4.795641371,1.62E-06,0.000851055,Cd36
ENSMUSG00000020889,79.33208394,-1.119130926,0.235417398,-4.75381571,2.00E-06,0.000973023,Nr1d1
ENSMUSG00000064682,310.4252921,-1.186322858,0.249584233,-4.753196326,2.00E-06,0.000973023,Gm25813
ENSMUSG00000020377,91.80430519,1.34518827,0.284867032,4.722161996,2.33E-06,0.001093498,Ltc4s
ENSMUSG00000074802,200.4714162,-0.98822728,0.210673117,-4.690808646,2.72E-06,0.00119757,Gas2l3
ENSMUSG00000003429,16665.20551,0.323624343,0.069009758,4.689544641,2.74E-06,0.00119757,Rps11
ENSMUSG00000030878,2709.94156,0.808830905,0.172937472,4.67701358,2.91E-06,0.001232032,Cdr2
ENSMUSG00000029192,412.6121004,0.414806078,0.089307621,4.644688468,3.41E-06,0.001396525,Tbc1d14
ENSMUSG00000020705,573.8552423,-0.399583645,0.086643622,-4.611806773,3.99E-06,0.001582096,Ddx42
ENSMUSG00000026833,11.7244386,-1.672344742,0.362889695,-4.608410663,4.06E-06,NA,Olfm1
ENSMUSG00000074151,32.3393695,4.169783679,0.905241537,4.606266406,4.10E-06,0.001582096,Nlrc5
ENSMUSG00000038936,923.237619,0.450389586,0.097960978,4.597642814,4.27E-06,0.001601878,Sccpdh
ENSMUSG00000035372,1521.876374,0.83928817,0.182869715,4.589541639,4.44E-06,0.00161906,1810055G02Rik
ENSMUSG00000040026,4150.802929,8.694926,1.896954773,4.583623249,4.57E-06,0.001620576,Saa3
ENSMUSG00000081929,1184.586496,0.50009932,0.109829969,4.553395797,5.28E-06,0.001777527,Rps11-ps2
ENSMUSG00000033149,91.72189382,-0.972732259,0.213636694,-4.553207779,5.28E-06,0.001777527,Phldb2
ENSMUSG00000063882,7105.411499,0.240204216,0.05295459,4.536041445,5.73E-06,0.001880237,Uqcrh
ENSMUSG00000026623,4039.078883,0.623685595,0.138284557,4.510160838,6.48E-06,0.00207307,Lpgat1
ENSMUSG00000063524,1638.518673,0.508356334,0.112995347,4.49891387,6.83E-06,0.002097454,Eno1
ENSMUSG00000040265,33.86902846,-1.348402907,0.299807608,-4.497560672,6.87E-06,0.002097454,Dnm3
ENSMUSG00000027359,283.7998126,0.737054142,0.1642062,4.488589007,7.17E-06,0.002135802,Slc27a2
ENSMUSG00000073802,396.2032634,0.642241745,0.143229012,4.484019919,7.32E-06,0.002135802,Cdkn2b
ENSMUSG00000036123,532.7191514,2.116689689,0.473659763,4.468797759,7.87E-06,0.002242328,Slc9a3
ENSMUSG00000038213,1027.67033,0.638659359,0.143058403,4.464326085,8.03E-06,0.002242328,Tapbpl
ENSMUSG00000119206,357.3885718,-1.774002618,0.398909674,-4.447128596,8.70E-06,0.002361808,Gm22634
ENSMUSG00000014867,1967.946723,0.370387165,0.083340852,4.44424502,8.82E-06,0.002361808,Surf4
ENSMUSG00000020089,967.4494027,0.820143205,0.185508427,4.42105632,9.82E-06,0.002577478,Ppa1
ENSMUSG00000017670,403.8415464,0.600971214,0.136375579,4.4067363,1.05E-05,0.002699834,Elmo2
ENSMUSG00000029162,387.6832548,0.596663465,0.135541053,4.402086692,1.07E-05,0.002705315,Khk
ENSMUSG00000035885,8184.495858,0.353473383,0.08048877,4.39158636,1.13E-05,0.002785777,Cox8a
ENSMUSG00000118751,353.7469234,-1.775436416,0.405456057,-4.378862728,1.19E-05,0.0028546,Gm22634
ENSMUSG00000040524,159.0509301,-0.583286349,0.133224832,-4.378210437,1.20E-05,0.0028546,Zfp609
ENSMUSG00000118864,353.7079063,-1.775654654,0.406047931,-4.373017362,1.23E-05,0.002871179,Gm22634
ENSMUSG00000030298,1823.624441,0.501480606,0.114831013,4.367118195,1.26E-05,0.002898052,Sec13
ENSMUSG00000042816,504.5742507,0.802174202,0.18396268,4.360526837,1.30E-05,0.002935251,Gpr151
ENSMUSG00000025651,2240.481983,0.332781401,0.076684208,4.339634082,1.43E-05,0.003173951,Uqcrc1
ENSMUSG00000094306,331.7984179,-1.714079951,0.396376883,-4.324369113,1.53E-05,0.003345177,Gm24924
ENSMUSG00000028434,2474.657164,0.351500969,0.081425657,4.316833093,1.58E-05,0.003360191,Epb41l4b
ENSMUSG00000074115,1934.25137,8.071489915,1.870069038,4.31614542,1.59E-05,0.003360191,Saa1
ENSMUSG00000029634,649.3673011,-0.680845426,0.1581491,-4.305085672,1.67E-05,0.003472155,Rnf6
ENSMUSG00000119476,350.3345333,-1.787739222,0.415572307,-4.301872844,1.69E-05,0.003472155,Rnu1a1
ENSMUSG00000119670,334.4644756,-1.742121412,0.406489355,-4.285773764,1.82E-05,0.003675984,Gm22634
ENSMUSG00000095616,333.6096128,-1.715570752,0.401494751,-4.272959348,1.93E-05,0.003834824,Gm26244
ENSMUSG00000116732,7.168583441,-1.889683422,0.443947823,-4.256543951,2.08E-05,NA,Gm18769
ENSMUSG00000072571,133.5492433,0.634745501,0.149352692,4.249976965,2.14E-05,0.004134042,Tmem253
ENSMUSG00000118815,327.4079414,-1.748829866,0.411537777,-4.249500196,2.14E-05,0.004134042,Gm22068
ENSMUSG00000024875,1383.780191,0.393496808,0.092706771,4.24453147,2.19E-05,0.004165454,Yif1a
ENSMUSG00000031823,346.7994153,0.465217526,0.109838508,4.235468356,2.28E-05,0.004275118,Zdhhc7
ENSMUSG00000021290,3886.872638,0.385324662,0.091088774,4.230210197,2.33E-05,0.004314648,Atp5mpl
ENSMUSG00000118718,1590.588797,-1.020360154,0.241726568,-4.221133665,2.43E-05,0.004328096,Gm24950
ENSMUSG00000119892,1590.761335,-1.020512046,0.241789612,-4.220661248,2.44E-05,0.004328096,Gm23971
ENSMUSG00000036814,354.3286349,0.593964436,0.140832829,4.21751405,2.47E-05,0.004328096,Slc6a20a
ENSMUSG00000082711,176.1995489,0.786207736,0.186430484,4.217162979,2.47E-05,0.004328096,NA
ENSMUSG00000118837,1585.780521,-1.019442925,0.242050805,-4.21168987,2.53E-05,0.004375981,Rnu2-10
ENSMUSG00000014959,1033.122895,0.381139483,0.090604224,4.206641441,2.59E-05,0.004415354,Gorasp2
ENSMUSG00000048833,1679.558991,0.283149173,0.067358273,4.203628773,2.63E-05,0.004415354,Slc39a9
ENSMUSG00000056529,164.330091,0.950292319,0.226211018,4.20091084,2.66E-05,0.004415354,Ptafr
ENSMUSG00000061731,882.2327835,0.648027776,0.154669603,4.189755218,2.79E-05,0.004569277,Ext1
ENSMUSG00000119668,1517.666444,-1.017480071,0.242981793,-4.187474539,2.82E-05,0.004569277,Gm23472
ENSMUSG00000028843,218.2103993,0.769740681,0.184417877,4.173894066,2.99E-05,0.004778732,Sh3bgrl3
ENSMUSG00000082596,78.45580885,1.030530121,0.247106083,4.170395602,3.04E-05,0.004778732,Gm14227
ENSMUSG00000028976,219.8852196,0.912444536,0.218863855,4.169005134,3.06E-05,0.004778732,Slc2a5
ENSMUSG00000106334,39.90414788,-1.599878888,0.384106014,-4.165201352,3.11E-05,0.004801945,NA
ENSMUSG00000119776,1568.085773,-1.0101332,0.242719675,-4.161727719,3.16E-05,0.004818898,Gm23849
ENSMUSG00000059040,1461.683925,0.490450551,0.118077634,4.153627871,3.27E-05,0.00492807,Eno1b
ENSMUSG00000031897,1106.992192,0.898091185,0.216516851,4.147904334,3.36E-05,0.00492807,Psmb10
ENSMUSG00000020873,1521.284318,0.399378484,0.09629647,4.147384482,3.36E-05,0.00492807,Slc35b1
ENSMUSG00000023045,608.2691377,0.422491669,0.101898346,4.146207315,3.38E-05,0.00492807,Soat2
ENSMUSG00000032122,136.891951,1.006261794,0.24306756,4.139844056,3.48E-05,0.004981994,Slc37a2
ENSMUSG00000005237,337.3308468,1.024569924,0.247670734,4.13682273,3.52E-05,0.004981994,Dnah2
ENSMUSG00000022575,1395.313374,0.615358452,0.148774167,4.136191538,3.53E-05,0.004981994,Gsdmd
ENSMUSG00000100018,357.6391738,0.746804042,0.181385056,4.117230264,3.83E-05,0.005325684,Gm7776
ENSMUSG00000058624,8977.822875,0.635541683,0.154562448,4.111876397,3.92E-05,0.005325684,Gda
ENSMUSG00000018548,220.4961007,-0.483350253,0.117560027,-4.111518742,3.93E-05,0.005325684,Trim37
ENSMUSG00000032330,5208.956823,0.346180622,0.084238346,4.109537242,3.96E-05,0.005325684,Cox7a2
ENSMUSG00000049832,195.1731083,0.855339191,0.208298257,4.106319476,4.02E-05,0.005325684,NA
ENSMUSG00000020681,5469.042407,0.513916694,0.12516994,4.105751689,4.03E-05,0.005325684,Ace
ENSMUSG00000020961,67.12032884,-0.886495171,0.216002278,-4.104101028,4.06E-05,0.005325684,Ston2
ENSMUSG00000040322,589.7106909,-0.367463921,0.089669974,-4.097959482,4.17E-05,0.005414793,Slc25a24
ENSMUSG00000035504,4958.58041,0.397815593,0.097697324,4.071919046,4.66E-05,0.005900707,Reep6
ENSMUSG00000035186,342.0420673,6.068122089,1.490908074,4.070084665,4.70E-05,0.005900707,Ubd
ENSMUSG00000049577,1064.762902,0.355467084,0.08734654,4.069618397,4.71E-05,0.005900707,Zfpm1
ENSMUSG00000028180,822.5050803,-0.359537226,0.088360599,-4.068976793,4.72E-05,0.005900707,Zranb2
ENSMUSG00000024074,652.3174367,-0.565561157,0.140282442,-4.031589061,5.54E-05,0.006857702,Crim1
ENSMUSG00000026283,181.352454,-0.492883037,0.122600477,-4.02023752,5.81E-05,0.007070924,Ing5
ENSMUSG00000063694,2691.750546,0.436042757,0.108521399,4.018034801,5.87E-05,0.007070924,Cycs
ENSMUSG00000026628,44.64937698,-1.236734637,0.307812724,-4.017815181,5.87E-05,0.007070924,Atf3
ENSMUSG00000040717,37.08747172,-0.990969428,0.247144966,-4.009668669,6.08E-05,0.007251853,Il17rd
ENSMUSG00000000078,1358.481929,-0.543877647,0.135761066,-4.006138603,6.17E-05,0.007251853,Klf6
ENSMUSG00000058927,2022.133781,0.423465011,0.105722389,4.005443072,6.19E-05,0.007251853,NA
ENSMUSG00000096173,492.7565129,0.585264911,0.146630509,3.991426589,6.57E-05,0.00762609,NA
ENSMUSG00000074682,471.9200015,-0.505196414,0.12668144,-3.987927613,6.67E-05,0.007671526,Zcchc3
ENSMUSG00000119838,1382.940177,-0.98331851,0.246973193,-3.981478709,6.85E-05,0.007814167,Gm23444
ENSMUSG00000022574,977.7030679,0.391530191,0.098396325,3.979113957,6.92E-05,0.007824254,Naprt
ENSMUSG00000066441,244.1868241,-0.466400527,0.117411185,-3.972368778,7.12E-05,0.007980421,Rdh11
ENSMUSG00000119873,1382.302784,-0.978234608,0.247204669,-3.957184991,7.58E-05,0.008372595,Gm24497
ENSMUSG00000083679,102.1035681,1.604700421,0.405691114,3.955473424,7.64E-05,0.008372595,NA
ENSMUSG00000010830,86.30468882,0.961217743,0.243127408,3.953555668,7.70E-05,0.008372595,Kdelr3
ENSMUSG00000037370,449.7965937,0.468253102,0.118487634,3.951915384,7.75E-05,0.008372595,Enpp1
ENSMUSG00000113923,1957.472207,0.642411098,0.162597552,3.950927242,7.78E-05,0.008372595,NA
ENSMUSG00000028223,1299.38781,0.338745141,0.085884634,3.94418799,8.01E-05,0.008424808,Decr1
ENSMUSG00000047501,1463.60529,-0.758295872,0.192279897,-3.943708533,8.02E-05,0.008424808,Cldn4
ENSMUSG00000085427,184.4590066,0.980021803,0.24850816,3.943620215,8.03E-05,0.008424808,6430710C18Rik
ENSMUSG00000060992,2547.742525,0.326811064,0.082918597,3.941348218,8.10E-05,0.008437521,Copz1
ENSMUSG00000027901,432.0275291,0.536282412,0.136137613,3.939267027,8.17E-05,0.008444027,Dennd2d
ENSMUSG00000037788,162.2697006,-0.659291665,0.16777369,-3.929648719,8.51E-05,0.008720345,Vopp1
